,Africa,Asia,Australia,Europe,North America,South America,Global
python,42.38,69.73,71.48,68.01,68.87,67.21,67.25
sql,60.4,51.98,64.51,56.42,62.34,58.06,56.81
programming,48.61,52.39,55.17,42.29,55.65,39.89,47.44
spark,21.19,39.32,29.76,41.07,36.17,38.39,38.25
aws,46.34,24.12,59.15,36.55,48.92,32.92,36.65
java,7.43,40.22,20.05,36.12,35.22,32.79,34.55
hadoop,32.77,35.29,21.3,30.54,27.94,29.92,31.03
etl,46.73,25.62,44.08,27.01,42.15,26.37,30.61
machine learning,14.46,30.64,18.8,35.91,17.71,28.14,29.82
r,18.12,22.45,23.16,28.53,8.34,26.37,23.33
scala,0.59,21.55,20.67,26.18,18.14,27.32,22.31
agile,24.65,8.57,27.02,26.12,29.32,12.43,21.7
business intelligence,24.36,14.4,24.16,23.38,25.34,22.68,21.53
kafka,0.59,21.55,8.72,24.78,18.97,11.48,20.59
azure,11.98,13.5,31.26,24.45,16.37,7.24,19.57
nosql,9.41,14.04,9.09,18.75,21.25,26.37,17.32
linux,2.08,18.04,8.59,17.68,20.23,10.11,16.55
hive,3.86,16.93,13.7,15.99,18.22,20.08,15.92
algorithm,1.09,21.34,3.86,15.8,15.31,7.51,15.4
data warehouse,13.96,15.49,27.02,10.96,20.31,12.84,14.32
functional,22.57,12.25,9.46,12.47,21.37,10.93,14.03
scripting,5.45,16.5,17.81,9.39,27.27,9.97,13.8
statistics,10.4,19.81,8.09,11.35,8.23,10.66,12.75
security,6.73,12.32,22.79,9.86,18.1,12.16,12.1
network,9.21,12.14,14.82,11.44,14.13,4.64,11.74
git,0.79,8.43,9.09,14.27,14.05,8.88,11.62
server,10.1,9.72,13.57,10.27,18.3,6.69,11.25
ai,0.2,16.6,4.11,12.92,3.82,3.69,11.07
redshift,8.51,10.78,21.54,8.91,13.38,10.79,10.61
postgres,11.58,10.22,9.71,9.85,13.42,8.06,10.46
devops,6.34,6.31,11.58,13.3,10.94,3.42,10.41
airflow,0.1,7.73,9.22,11.73,14.01,12.57,10.35
tableau,3.76,10.67,21.79,9.12,9.52,14.89,10.05
docker,0.5,8.09,2.24,12.59,10.74,6.69,9.87
javascript,1.19,10.04,8.84,10.76,10.78,5.46,9.76
data pipeline,11.78,12.57,10.09,5.89,17.51,5.05,9.62
mathematics,4.16,11.35,11.33,9.77,7.67,7.38,9.52
oracle,6.24,10.17,8.47,8.45,12.59,7.1,9.27
sql server,9.31,6.47,12.7,6.96,14.36,4.37,8.16
s3,6.04,7.1,13.82,6.34,13.81,5.33,7.84
google cloud,0.1,7.42,10.09,9.47,5.23,7.92,7.82
mongodb,5.74,8.61,0.5,7.08,11.73,4.37,7.63
c++,0.89,11.35,14.07,5.52,8.11,4.51,7.38
data lake,0.1,6.38,13.45,6.81,11.57,6.15,7.27
data structures,6.63,9.45,7.72,5.32,10.63,3.28,7.17
cassandra,5.74,9.38,0.0,7.01,6.45,7.79,7.16
hbase,0.5,9.59,3.36,7.45,5.51,4.1,7.0
elasticsearch,0.0,3.75,0.25,9.9,8.38,4.1,6.98
c,0.89,8.57,9.09,7.42,4.21,7.38,6.96
rest,8.71,3.19,1.37,7.9,10.9,7.38,6.91
kubernetes,0.3,5.15,0.62,8.41,9.84,3.83,6.84
scrum,20.59,3.17,4.98,7.21,7.36,2.32,6.69
os,0.5,5.72,0.37,5.45,2.72,48.63,6.37
c#,1.19,6.13,16.19,6.14,6.65,5.05,6.33
shell,0.59,8.73,0.37,3.42,15.19,3.42,6.07
deep learning,0.3,9.72,5.11,6.24,1.3,5.87,6.0
project management,2.87,6.76,10.96,4.12,9.56,2.73,5.7
data visualization,9.21,6.38,3.36,5.23,4.64,3.83,5.51
jenkins,0.2,7.26,0.87,5.47,6.61,2.05,5.43
hdfs,0.3,5.25,8.47,5.95,4.53,5.19,5.34
data architecture,6.63,4.0,0.0,4.69,10.04,5.6,5.21
excel,16.44,3.32,8.34,2.41,10.78,9.84,5.15
mapreduce,3.27,5.47,1.87,3.97,5.08,9.29,4.57
http,0.59,3.53,4.86,4.62,5.27,3.55,4.19
impala,0.2,2.31,5.11,4.78,6.06,6.28,4.18
snowflake,5.35,0.84,14.2,2.85,8.54,3.14,3.81
ruby,9.11,5.74,1.74,1.94,4.13,3.69,3.63
flink,0.1,4.14,0.0,4.21,3.38,2.73,3.61
software engineer,0.79,4.3,1.0,4.02,2.99,2.87,3.58
backend,0.2,5.04,3.86,3.61,2.32,2.46,3.56
storm,5.64,4.57,3.36,2.67,3.97,2.46,3.5
sas,0.59,4.18,3.61,4.38,0.2,2.6,3.43
pandas,0.2,6.13,0.0,2.9,2.01,5.87,3.4
pig,3.27,2.85,1.74,4.08,2.52,3.42,3.38
json,2.77,1.99,6.1,2.85,7.6,1.09,3.37
bash,0.3,4.32,0.25,3.98,2.32,1.37,3.36
sap,0.79,2.78,0.5,3.74,3.27,2.19,3.07
luigi,0.1,3.03,0.0,2.56,5.59,4.23,2.92
oozie,0.0,2.15,0.0,3.67,3.15,3.96,2.87
powerbi,3.56,2.22,7.47,2.76,0.24,2.87,2.53
transact-sql,0.3,2.19,9.84,1.54,5.12,0.82,2.47
apache nifi,0.3,3.26,6.85,1.95,2.64,1.5,2.47
presto,2.77,1.63,0.0,2.18,4.72,3.96,2.41
jupyter,0.1,3.55,1.0,2.19,2.09,2.6,2.36
scikit,0.0,4.02,0.0,2.63,0.35,1.5,2.34
numpy,0.1,4.7,0.0,1.76,1.3,2.05,2.25
redis,5.45,2.8,0.0,1.93,1.53,1.91,2.2
microservices,0.2,1.54,0.0,3.23,1.46,1.23,2.18
maven,0.0,2.22,0.0,2.82,1.26,0.55,2.08
