,Africa,Asia,Australia,Europe,North America,South America,Global
azure data factory,0.1,1.18,8.59,2.73,0.67,0.0,2.06
sqoop,0.0,1.81,0.0,1.7,4.72,3.69,2.06
flume,0.0,1.58,0.0,1.73,3.82,3.96,1.9
react,0.2,1.47,1.87,2.51,1.34,0.68,1.86
computer vision,0.2,3.73,0.0,1.79,0.12,0.96,1.83
apache beam,0.2,2.53,1.74,1.92,0.71,1.37,1.77
oop,0.1,0.52,2.12,1.51,4.29,2.87,1.66
yarn,0.0,1.72,0.0,2.18,1.26,0.0,1.63
powershell,0.0,2.15,3.61,1.35,1.61,0.41,1.57
html,0.5,1.63,5.48,1.07,2.36,1.23,1.56
cli,0.2,0.57,0.5,1.99,2.56,1.5,1.54
css,0.2,1.88,5.23,1.2,1.3,1.23,1.5
ip,0.59,1.83,0.75,1.37,1.38,0.55,1.38
nodejs,0.0,1.22,1.62,1.34,2.4,0.14,1.35
oracle sql,0.0,0.47,0.0,1.25,3.94,1.64,1.33
ssas,8.32,0.32,1.74,0.76,2.09,0.68,1.3
data cleaning,3.47,1.38,0.0,1.29,0.0,1.78,1.22
angular,0.0,1.92,0.0,1.15,0.98,0.82,1.19
gdpr,5.45,0.0,0.25,1.64,0.16,0.0,1.12
san,0.5,1.02,0.25,0.92,2.72,0.0,1.11
frontend,0.0,0.81,0.0,1.81,0.31,0.0,1.11
time series,0.0,1.09,0.0,1.66,0.04,0.68,1.09
django,0.2,0.57,1.62,1.4,1.26,0.0,1.06
data wrangling,0.2,0.9,3.74,1.35,0.0,0.0,1.04
web development,0.0,1.51,0.0,1.11,0.0,0.14,0.9
vertica,0.0,1.13,0.0,0.38,3.07,0.0,0.89
mpp,0.0,1.58,0.5,0.38,1.61,0.55,0.84
solr,0.1,0.32,0.0,0.92,2.2,0.14,0.84
map reduce,0.3,1.31,0.0,0.16,1.89,3.28,0.81
kerberos,0.0,0.75,0.0,0.88,1.42,0.0,0.8
web scraping,0.0,1.24,0.0,0.46,1.14,0.0,0.68
encryption,0.0,1.2,1.62,0.17,1.61,0.0,0.67
ssl,0.0,0.86,0.0,0.59,1.26,0.0,0.67
selenium,0.3,0.41,1.62,0.72,0.67,0.27,0.63
mahout,2.57,1.47,0.12,0.06,0.0,0.0,0.53
probability,0.0,1.02,0.0,0.5,0.0,0.68,0.51
neural network,0.0,1.65,0.0,0.2,0.04,0.0,0.5
scipy,0.0,0.36,0.0,0.75,0.04,0.0,0.45
microsoft power bi,0.0,0.41,0.0,0.4,1.14,0.0,0.45
quicksight,0.0,0.27,0.0,0.24,1.38,1.78,0.45
iam,0.0,0.27,0.0,0.29,1.65,0.0,0.43
mllib,0.0,1.51,0.0,0.12,0.0,0.0,0.42
sparksql,0.0,0.02,0.0,0.25,1.93,0.68,0.42
kudu,0.0,0.16,0.0,0.37,1.3,0.41,0.41
zookeeper,0.1,0.9,0.0,0.02,1.26,0.0,0.41
apache crunch,0.0,0.0,0.0,0.75,0.0,0.68,0.39
eclipse,0.1,0.54,0.0,0.45,0.0,0.0,0.35
oauth,0.1,0.32,0.0,0.53,0.0,0.0,0.34
tomcat,0.3,0.77,0.0,0.22,0.0,0.41,0.32
soa,0.2,0.32,0.0,0.23,0.83,0.0,0.31
hue,0.0,0.02,0.0,0.22,1.26,0.0,0.29
ide,0.1,0.16,0.0,0.5,0.0,0.0,0.28
circleci,0.1,0.47,0.0,0.31,0.0,0.0,0.27
rapidminer,0.0,0.23,0.0,0.35,0.0,1.09,0.26
wms,0.0,0.25,0.0,0.4,0.04,0.0,0.26
knime,0.0,0.23,0.0,0.33,0.0,0.82,0.25
tensor flow,0.0,0.25,0.0,0.35,0.0,0.0,0.23
concur,0.0,0.0,0.0,0.0,1.65,0.0,0.23
cron,0.0,0.0,0.0,0.4,0.0,0.55,0.21
jdbc,0.0,0.2,0.0,0.09,0.55,0.27,0.18
greenplum,0.0,0.52,0.0,0.08,0.0,0.0,0.17
algebra,0.2,0.0,0.0,0.25,0.0,0.68,0.16
sandbox,0.0,0.0,0.0,0.29,0.0,0.0,0.14
ssh,0.0,0.57,0.0,0.0,0.0,0.14,0.14
calculus,0.0,0.0,0.0,0.24,0.0,0.0,0.12
ambari,0.0,0.29,0.0,0.01,0.0,1.09,0.12
haskell,0.1,0.29,0.0,0.0,0.24,0.0,0.11
anaconda,0.0,0.0,0.0,0.21,0.04,0.0,0.1
osi,0.0,0.0,0.0,0.13,0.04,0.55,0.09
pattern recognition,0.0,0.25,0.0,0.0,0.0,0.55,0.08
drill,0.0,0.05,0.0,0.12,0.0,0.0,0.07
jwt,0.0,0.02,0.0,0.06,0.0,0.41,0.05
identity access management,0.0,0.0,0.0,0.06,0.0,0.0,0.03
phoenix,0.0,0.0,0.0,0.03,0.04,0.0,0.02
lucene,0.0,0.0,0.25,0.0,0.0,0.0,0.01
jetty,0.0,0.0,0.0,0.01,0.0,0.0,0.01
sqlite,0.0,0.0,0.0,0.02,0.0,0.0,0.01
arrow,0.0,0.0,0.0,0.01,0.0,0.0,0.01
heron,0.1,0.0,0.0,0.0,0.0,0.0,0.01
