,Africa,Asia,Australia,Europe,North America,South America,Global
1,sql,python,python,python,python,python,python
2,programming,programming,sql,sql,sql,sql,sql
3,etl,sql,aws,programming,programming,os,programming
4,aws,java,programming,spark,aws,programming,spark
5,python,spark,etl,aws,etl,spark,aws
6,hadoop,hadoop,azure,java,spark,aws,java
7,agile,machine learning,spark,machine learning,java,java,hadoop
8,business intelligence,etl,data warehouse,hadoop,agile,hadoop,etl
9,functional,aws,agile,r,hadoop,machine learning,machine learning
10,spark,r,business intelligence,etl,scripting,scala,r
11,scrum,scala,r,scala,business intelligence,r,scala
12,r,kafka,security,agile,functional,nosql,agile
13,excel,algorithm,tableau,kafka,nosql,etl,business intelligence
14,machine learning,statistics,redshift,azure,data warehouse,business intelligence,kafka
15,data warehouse,linux,hadoop,business intelligence,linux,hive,azure
16,azure,hive,scala,nosql,kafka,tableau,nosql
17,data pipeline,ai,java,linux,server,data warehouse,linux
18,postgres,scripting,machine learning,hive,hive,airflow,hive
19,statistics,data warehouse,scripting,algorithm,scala,agile,algorithm
20,server,business intelligence,c#,git,security,security,data warehouse
21,nosql,nosql,network,devops,machine learning,kafka,functional
22,sql server,azure,snowflake,ai,data pipeline,functional,scripting
23,network,data pipeline,c++,docker,azure,redshift,statistics
24,data visualization,security,s3,functional,algorithm,statistics,security
25,ruby,functional,hive,airflow,shell,linux,network
26,rest,network,server,network,sql server,scripting,git
27,redshift,mathematics,data lake,statistics,network,excel,server
28,ssas,c++,sql server,data warehouse,git,mapreduce,ai
29,java,redshift,devops,javascript,airflow,git,redshift
30,security,tableau,mathematics,server,s3,postgres,postgres
31,data structures,postgres,project management,elasticsearch,postgres,google cloud,devops
32,data architecture,oracle,google cloud,security,redshift,cassandra,airflow
33,devops,javascript,data pipeline,postgres,oracle,algorithm,tableau
34,oracle,server,transact-sql,mathematics,mongodb,rest,docker
35,s3,deep learning,postgres,google cloud,data lake,mathematics,javascript
36,mongodb,hbase,functional,scripting,devops,c,data pipeline
37,cassandra,data structures,airflow,tableau,rest,azure,mathematics
38,storm,cassandra,nosql,redshift,javascript,oracle,oracle
39,scripting,shell,git,oracle,excel,server,sql server
40,redis,mongodb,c,kubernetes,docker,docker,s3
41,gdpr,c,javascript,rest,data structures,impala,google cloud
42,snowflake,agile,kafka,hbase,data architecture,data lake,mongodb
43,mathematics,git,linux,c,kubernetes,pandas,c++
44,hive,docker,azure data factory,scrum,project management,deep learning,data lake
45,tableau,airflow,oracle,mongodb,tableau,data architecture,data structures
46,powerbi,google cloud,hdfs,cassandra,snowflake,javascript,cassandra
47,data cleaning,jenkins,excel,sql server,elasticsearch,s3,hbase
48,pig,s3,statistics,data lake,r,hdfs,elasticsearch
49,mapreduce,project management,data structures,s3,statistics,data pipeline,c
50,project management,sql server,powerbi,deep learning,c++,c#,rest
51,presto,data visualization,apache nifi,c#,mathematics,network,kubernetes
52,json,data lake,json,hdfs,json,c++,scrum
53,mahout,devops,html,data pipeline,scrum,sql server,os
54,linux,pandas,css,c++,c#,mongodb,c#
55,javascript,c#,impala,jenkins,jenkins,luigi,shell
56,c#,ruby,deep learning,os,cassandra,hbase,deep learning
57,algorithm,os,scrum,data structures,impala,elasticsearch,project management
58,c++,mapreduce,http,data visualization,luigi,presto,data visualization
59,c,hdfs,ai,impala,hbase,oozie,jenkins
60,software engineer,kubernetes,backend,data architecture,http,flume,hdfs
61,sap,backend,algorithm,http,google cloud,kubernetes,data architecture
62,git,numpy,data wrangling,sas,transact-sql,data visualization,excel
63,shell,storm,sas,flink,mapreduce,sqoop,mapreduce
64,scala,bash,powershell,project management,sqoop,ruby,http
65,sas,software engineer,storm,pig,presto,ai,impala
66,kafka,sas,hbase,software engineer,data visualization,http,snowflake
67,ip,flink,data visualization,bash,hdfs,shell,ruby
68,http,scikit,docker,mapreduce,oop,pig,flink
