,Internship,Entry level,Associate,Mid-Senior,Senior,Director,Executive,Not specified,Global
1,python,python,python,python,python,r,programming,python,python
2,sql,sql,sql,sql,sql,python,java,programming,sql
3,machine learning,programming,programming,programming,machine learning,sql,docker,sql,programming
4,r,etl,spark,aws,spark,programming,functional,java,spark
5,java,spark,aws,spark,programming,machine learning,python,spark,aws
6,programming,hadoop,java,java,aws,statistics,linux,aws,java
7,scikit,aws,machine learning,hadoop,r,mathematics,scripting,hadoop,hadoop
8,pandas,java,hadoop,machine learning,java,java,agile,machine learning,etl
9,functional,business intelligence,etl,etl,hadoop,etl,devops,scala,machine learning
10,c++,r,azure,agile,etl,ai,server,etl,r
11,etl,machine learning,r,kafka,scala,algorithm,ruby,linux,scala
12,statistics,kafka,scala,azure,business intelligence,aws,machine learning,r,agile
13,excel,agile,algorithm,scala,agile,agile,kubernetes,scripting,business intelligence
14,mathematics,scala,agile,business intelligence,nosql,presto,aws,agile,kafka
15,javascript,hive,kafka,nosql,kafka,tableau,algorithm,network,azure
16,algorithm,data warehouse,business intelligence,data warehouse,git,spark,sql,security,nosql
17,devops,linux,hive,r,azure,redshift,git,business intelligence,linux
18,css,nosql,nosql,functional,hive,scala,etl,hive,hive
19,ai,azure,linux,security,airflow,kafka,zookeeper,algorithm,algorithm
20,azure,scripting,statistics,scripting,docker,s3,transact-sql,azure,data warehouse
21,agile,server,functional,linux,ai,powerbi,spark,statistics,functional
22,nosql,tableau,git,algorithm,functional,airflow,scala,c++,scripting
23,linux,functional,data pipeline,hive,linux,nosql,kafka,nosql,statistics
24,jenkins,javascript,network,network,devops,data lake,cassandra,redshift,security
25,html,network,docker,data pipeline,redshift,data visualization,backend,mathematics,network
26,data pipeline,algorithm,ai,devops,tableau,business intelligence,os,javascript,git
27,tableau,airflow,scripting,statistics,c,functional,statistics,postgres,server
28,os,devops,postgres,server,elasticsearch,server,excel,data warehouse,ai
29,aws,postgres,server,git,algorithm,scrum,deep learning,kafka,redshift
30,spark,statistics,redshift,postgres,data warehouse,sql server,c++,data structures,postgres
31,scripting,security,data warehouse,airflow,statistics,network,ai,s3,devops
32,server,mathematics,security,oracle,javascript,c#,r,docker,airflow
33,google cloud,ai,google cloud,redshift,mongodb,hadoop,selenium,c,tableau
34,business intelligence,oracle,mathematics,ai,deep learning,linux,security,c#,docker
35,hbase,excel,oracle,data lake,server,data warehouse,rest,kubernetes,javascript
36,hadoop,os,cassandra,google cloud,data lake,transact-sql,project management,oracle,data pipeline
37,data warehouse,elasticsearch,os,sql server,google cloud,ssas,oracle sql,git,mathematics
38,data visualization,sql server,deep learning,s3,scrum,os,oracle,devops,oracle
39,airflow,redshift,sql server,javascript,impala,javascript,nodejs,functional,sql server
40,storm,git,hbase,tableau,data pipeline,probability,network,ai,s3
41,scala,rest,data structures,mongodb,mathematics,git,jenkins,airflow,google cloud
42,redshift,c++,tableau,docker,os,data cleaning,javascript,ruby,mongodb
43,kafka,shell,mongodb,rest,scripting,time series,data warehouse,hbase,c++
44,s3,mongodb,hdfs,c#,s3,jenkins,bash,tableau,data lake
45,http,data structures,shell,scrum,pandas,hive,yarn,elasticsearch,data structures
46,deep learning,s3,kubernetes,project management,microservices,backend,wms,data visualization,cassandra
47,scipy,docker,airflow,c++,hbase,project management,web scraping,cassandra,hbase
48,numpy,scrum,devops,hbase,sql server,oracle,web development,shell,elasticsearch
49,mongodb,data lake,jenkins,mathematics,mapreduce,scripting,vertica,server,c
50,mllib,data visualization,project management,data architecture,rest,kubernetes,tomcat,os,rest
51,jupyter,data pipeline,javascript,cassandra,network,c,time series,data pipeline,kubernetes
52,docker,cassandra,c++,data structures,software engineer,shell,tensor flow,hdfs,scrum
53,c,kubernetes,backend,kubernetes,oracle,deep learning,tableau,luigi,os
54,sql server,c,data visualization,shell,data architecture,security,storm,transact-sql,c#
55,rest,deep learning,scrum,jenkins,oozie,rest,ssl,project management,shell
56,postgres,hbase,rest,hdfs,cassandra,postgres,ssh,deep learning,deep learning
57,oracle sql,mapreduce,data architecture,c,pig,numpy,ssas,scrum,project management
58,oracle,google cloud,c,storm,kubernetes,neural network,sqoop,mapreduce,data visualization
59,microservices,c#,elasticsearch,snowflake,http,elasticsearch,sqlite,rest,jenkins
60,data structures,sas,s3,elasticsearch,jenkins,web development,sql server,mongodb,hdfs
61,software engineer,project management,bash,excel,postgres,selenium,sparksql,data architecture,data architecture
