,Internship,Entry level,Associate,Mid-Senior,Senior,Director,Executive,Not specified,Global
spark,7.33,35.03,41.79,40.17,38.57,14.75,30.0,39.48,38.25
hadoop,5.33,31.56,29.55,32.24,33.15,8.27,0.0,34.04,31.03
kafka,4.67,17.61,22.17,24.41,21.8,14.03,30.0,12.67,20.59
hive,0.0,16.18,20.03,13.24,17.6,5.4,0.0,16.66,15.92
cassandra,0.67,5.79,10.11,7.1,5.48,0.36,30.0,7.1,7.16
hbase,5.33,5.4,9.12,7.35,6.36,0.0,0.0,7.76,7.0
hdfs,0.0,3.18,7.77,6.26,4.37,0.36,0.0,5.37,5.34
mapreduce,0.0,5.17,5.54,3.3,6.2,0.0,0.0,4.45,4.57
impala,0.0,2.91,4.88,4.13,8.02,0.36,0.0,3.25,4.18
flink,0.0,3.72,4.34,3.37,4.43,1.08,0.0,2.19,3.61
storm,4.67,1.7,3.24,6.09,0.83,0.36,0.0,4.05,3.5
pig,0.0,3.76,4.11,2.45,5.2,0.36,0.0,2.65,3.38
oozie,0.0,2.45,3.42,2.27,5.53,0.36,0.0,2.72,2.87
presto,0.0,1.5,1.84,3.42,1.05,16.55,0.0,2.39,2.41
sqoop,0.0,1.56,2.4,3.02,1.83,0.0,0.0,0.13,2.06
flume,0.0,1.14,2.32,2.4,2.82,0.36,0.0,0.86,1.9
yarn,0.0,1.89,0.84,1.95,3.32,0.36,0.0,0.13,1.63
solr,0.0,0.77,0.56,1.6,0.06,0.0,0.0,0.13,0.84
mahout,0.0,0.02,0.2,1.37,0.0,0.0,0.0,0.73,0.53
mllib,2.0,1.0,0.0,0.0,0.83,0.0,0.0,0.73,0.42
zookeeper,0.0,0.02,0.0,0.85,0.0,0.0,30.0,0.53,0.41
ambari,0.0,0.02,0.0,0.23,0.0,0.0,0.0,0.53,0.12
drill,0.0,0.08,0.13,0.05,0.0,0.0,0.0,0.0,0.07
phoenix,0.0,0.06,0.0,0.02,0.0,0.0,0.0,0.0,0.02
lucene,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.01
