,Internship,Entry level,Associate,Mid-Senior,Senior,Director,Executive,Not specified,Global
ruby,0.0,2.12,3.37,4.33,1.83,1.08,40.0,8.1,3.63
flink,0.0,3.72,4.34,3.37,4.43,1.08,0.0,2.19,3.61
software engineer,0.67,1.45,5.29,3.87,5.64,1.08,0.0,3.32,3.58
backend,0.0,2.03,6.59,2.7,4.32,4.68,30.0,1.92,3.56
storm,4.67,1.7,3.24,6.09,0.83,0.36,0.0,4.05,3.5
sas,0.0,4.46,5.47,1.97,3.1,0.36,0.0,1.73,3.43
pandas,24.67,3.51,2.43,3.19,6.53,0.0,0.0,1.26,3.4
pig,0.0,3.76,4.11,2.45,5.2,0.36,0.0,2.65,3.38
json,0.0,3.49,1.84,4.13,4.48,0.36,0.0,3.85,3.37
bash,0.0,3.36,5.67,2.34,3.71,0.36,1.67,1.66,3.36
sap,0.0,4.11,2.04,3.78,1.33,0.0,0.0,2.85,3.07
luigi,0.0,2.82,2.09,3.14,3.1,0.36,0.0,5.18,2.92
oozie,0.0,2.45,3.42,2.27,5.53,0.36,0.0,2.72,2.87
powerbi,0.0,2.93,1.46,2.27,2.27,13.31,0.0,3.72,2.53
transact-sql,0.0,1.31,2.12,3.3,0.61,6.47,30.0,4.58,2.47
apache nifi,0.0,2.84,2.63,2.89,2.05,0.0,0.0,0.6,2.47
presto,0.0,1.5,1.84,3.42,1.05,16.55,0.0,2.39,2.41
jupyter,2.0,3.59,2.38,2.32,0.72,0.0,0.0,1.0,2.36
scikit,29.33,2.37,2.25,1.72,3.27,0.0,0.0,1.59,2.34
numpy,2.0,2.08,1.81,2.63,3.76,2.88,0.0,0.73,2.25
redis,0.67,0.73,3.04,3.34,2.21,0.0,0.0,1.06,2.2
microservices,1.33,1.25,3.35,1.45,6.53,0.0,0.0,0.2,2.18
maven,0.0,0.29,4.44,1.54,4.04,0.0,0.0,1.99,2.08
azure data factory,0.0,0.66,4.65,2.31,0.94,0.0,0.0,0.93,2.06
sqoop,0.0,1.56,2.4,3.02,1.83,0.0,0.0,0.13,2.06
flume,0.0,1.14,2.32,2.4,2.82,0.36,0.0,0.86,1.9
react,0.67,2.97,1.2,1.45,3.04,0.36,0.0,0.6,1.86
computer vision,0.0,1.99,3.17,1.22,1.44,0.36,0.0,1.06,1.83
apache beam,0.0,1.14,1.33,3.09,2.27,0.0,0.0,0.0,1.77
oop,0.0,0.69,2.55,2.24,0.17,0.0,0.0,2.65,1.66
yarn,0.0,1.89,0.84,1.95,3.32,0.36,0.0,0.13,1.63
powershell,0.0,1.76,1.86,1.24,1.72,0.0,0.0,1.73,1.57
html,12.0,1.45,1.61,1.93,0.39,0.0,0.0,1.06,1.56
cli,0.0,0.25,1.74,1.37,4.59,1.08,0.0,2.39,1.54
css,13.33,1.14,1.92,1.65,0.28,0.72,0.0,1.53,1.5
ip,0.0,1.83,1.28,1.14,0.28,0.36,0.0,2.85,1.38
nodejs,0.0,2.33,1.15,0.18,1.16,2.52,1.67,3.25,1.35
oracle sql,1.33,0.85,0.89,2.41,0.61,0.36,1.67,0.93,1.33
ssas,0.0,1.83,0.49,1.63,0.0,6.47,0.0,1.26,1.3
data cleaning,0.0,1.12,0.36,2.02,0.77,6.12,0.0,0.53,1.22
angular,0.67,0.62,2.07,1.37,0.17,0.72,0.0,1.46,1.19
gdpr,0.0,0.93,0.49,2.29,0.28,0.0,0.0,0.33,1.12
san,0.0,0.48,2.12,1.54,0.0,2.52,0.0,0.07,1.11
frontend,0.0,1.33,1.74,0.82,0.28,0.0,0.0,1.19,1.11
time series,0.0,0.69,1.58,0.39,1.44,5.76,0.0,2.59,1.09
django,0.67,0.46,1.84,0.67,2.77,1.08,0.0,0.46,1.06
data wrangling,0.0,1.02,1.2,0.67,0.0,0.0,0.0,3.65,1.04
web development,0.0,1.35,0.31,0.28,2.77,2.52,0.0,0.93,0.9
vertica,0.0,0.79,1.12,0.87,0.0,0.0,0.0,1.99,0.89
mpp,0.0,1.04,0.49,1.08,0.94,0.0,0.0,0.33,0.84
solr,0.0,0.77,0.56,1.6,0.06,0.0,0.0,0.13,0.84
map reduce,0.0,0.21,1.05,0.99,1.11,1.08,0.0,1.13,0.81
kerberos,0.0,0.73,0.69,1.17,0.94,0.0,0.0,0.0,0.8
web scraping,0.0,0.04,0.46,1.22,1.88,0.0,0.0,0.07,0.68
encryption,0.0,0.64,0.26,1.42,0.0,0.0,0.0,0.07,0.67
ssl,0.0,0.21,0.66,1.47,0.06,0.36,0.0,0.0,0.67
selenium,0.0,1.02,0.59,0.55,0.06,2.52,1.67,0.2,0.63
mahout,0.0,0.02,0.2,1.37,0.0,0.0,0.0,0.73,0.53
probability,0.0,0.02,1.35,0.23,0.11,6.12,0.0,0.46,0.51
neural network,0.0,0.35,0.43,0.12,2.32,2.88,0.0,0.0,0.5
scipy,2.0,0.17,0.31,0.16,2.77,0.0,0.0,0.0,0.45
microsoft power bi,0.0,0.35,1.66,0.0,0.0,0.0,0.0,0.0,0.45
quicksight,0.0,0.0,0.0,0.62,0.72,1.44,0.0,1.92,0.45
iam,0.0,0.1,0.51,0.96,0.0,0.0,0.0,0.0,0.43
mllib,2.0,1.0,0.0,0.0,0.83,0.0,0.0,0.73,0.42
sparksql,0.0,1.27,0.13,0.18,0.0,0.0,0.0,0.07,0.42
kudu,0.0,0.04,0.43,0.8,0.61,0.0,0.0,0.0,0.41
zookeeper,0.0,0.02,0.0,0.85,0.0,0.0,30.0,0.53,0.41
apache crunch,0.0,0.0,1.53,0.18,0.0,0.0,0.0,0.0,0.39
eclipse,0.0,0.15,0.84,0.39,0.06,0.0,0.0,0.07,0.35
oauth,0.0,0.15,0.0,0.27,1.88,0.0,0.0,0.33,0.34
tomcat,0.0,0.23,0.66,0.32,0.11,0.0,0.0,0.13,0.32
soa,0.0,0.08,0.38,0.64,0.06,0.36,0.0,0.0,0.31
hue,0.0,0.0,0.03,0.89,0.0,0.0,0.0,0.07,0.29
ide,0.0,0.54,0.51,0.02,0.0,0.0,0.0,0.27,0.28
circleci,0.0,0.23,0.0,0.14,1.66,0.0,0.0,0.0,0.27
rapidminer,0.0,0.12,0.2,0.28,1.0,0.0,0.0,0.0,0.26
wms,0.0,0.73,0.28,0.0,0.0,0.36,0.0,0.0,0.26
knime,0.0,0.5,0.0,0.32,0.17,0.0,0.0,0.0,0.25
tensor flow,0.0,0.62,0.0,0.2,0.0,0.0,0.0,0.0,0.23
concur,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.23
cron,0.0,0.08,0.0,0.0,1.94,0.0,0.0,0.0,0.21
jdbc,0.0,0.08,0.08,0.3,0.11,2.52,0.0,0.0,0.18
greenplum,0.0,0.06,0.1,0.39,0.06,0.0,0.0,0.0,0.17
algebra,0.0,0.39,0.15,0.07,0.0,0.0,0.0,0.0,0.16
sandbox,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.14
ssh,0.0,0.0,0.03,0.02,0.0,0.0,0.0,1.59,0.14
calculus,0.0,0.35,0.0,0.07,0.0,0.0,0.0,0.0,0.12
ambari,0.0,0.02,0.0,0.23,0.0,0.0,0.0,0.53,0.12
haskell,0.0,0.02,0.0,0.34,0.0,0.0,0.0,0.0,0.11
anaconda,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.13,0.1
osi,0.0,0.02,0.03,0.2,0.0,0.0,0.0,0.2,0.09
pattern recognition,0.0,0.02,0.0,0.2,0.0,0.0,0.0,0.2,0.08
drill,0.0,0.08,0.13,0.05,0.0,0.0,0.0,0.0,0.07
jwt,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.53,0.05
identity access management,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.03
phoenix,0.0,0.06,0.0,0.02,0.0,0.0,0.0,0.0,0.02
lucene,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.01
jetty,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01
sqlite,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01
arrow,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01
heron,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01
