,Internship,Entry level,Associate,Mid-Senior,Senior,Director,Executive,Not specified,Global
python,84.67,60.88,65.95,71.1,74.49,50.0,51.67,69.94,67.25
sql,72.0,51.89,60.15,61.2,56.56,49.28,31.67,48.64,56.81
programming,30.0,45.62,42.86,52.79,37.58,46.04,91.67,57.2,47.44
spark,7.33,35.03,41.79,40.17,38.57,14.75,30.0,39.48,38.25
aws,8.0,30.65,36.91,42.57,37.58,18.71,40.0,37.96,36.65
java,34.0,30.21,36.22,34.53,33.2,24.82,73.33,46.12,34.55
hadoop,5.33,31.56,29.55,32.24,33.15,8.27,0.0,34.04,31.03
etl,18.67,35.82,27.13,29.51,30.44,22.66,31.67,29.99,30.61
machine learning,60.67,22.57,31.03,29.93,40.12,30.58,40.0,33.44,29.82
r,57.33,23.26,24.21,17.3,34.48,57.55,5.0,21.43,23.33
scala,4.67,16.3,23.63,23.74,26.07,14.03,30.0,31.19,22.31
agile,12.67,17.17,23.12,25.35,23.13,17.27,43.33,17.98,21.7
business intelligence,6.0,23.57,20.41,21.82,24.57,11.87,0.0,17.39,21.53
kafka,4.67,17.61,22.17,24.41,21.8,14.03,30.0,12.67,20.59
azure,12.67,13.62,24.57,23.79,18.65,1.44,0.0,15.66,19.57
nosql,12.0,13.64,18.75,19.3,21.8,12.95,0.0,14.53,17.32
linux,12.0,14.04,17.88,15.76,13.78,7.55,46.67,28.33,16.55
hive,0.0,16.18,20.03,13.24,17.6,5.4,0.0,16.66,15.92
algorithm,14.0,10.47,23.5,14.5,11.9,20.86,40.0,15.86,15.4
data warehouse,5.33,14.51,11.19,18.28,11.73,7.55,1.67,12.81,14.32
functional,22.67,10.76,14.2,16.93,15.0,11.15,53.33,10.15,14.03
scripting,7.33,12.65,12.21,16.84,7.08,3.96,43.33,19.58,13.8
statistics,17.33,9.97,15.76,11.98,11.4,27.34,10.0,15.26,12.75
security,0.67,9.97,10.93,16.87,3.65,3.24,1.67,17.45,12.1
network,0.0,10.49,13.0,12.74,6.03,8.63,1.67,17.72,11.74
git,0.67,7.48,13.72,11.69,20.03,6.12,31.67,10.42,11.62
server,6.67,12.02,11.95,11.96,8.85,10.43,40.0,6.64,11.25
ai,13.33,9.01,12.26,10.54,15.11,22.66,10.0,9.42,11.07
redshift,4.67,7.85,11.42,10.68,13.0,14.75,0.0,14.4,10.61
postgres,1.33,9.99,12.21,11.44,4.59,2.88,0.0,13.47,10.46
devops,13.33,10.01,7.31,12.08,13.06,1.8,41.67,10.35,10.41
airflow,5.33,10.36,7.38,11.05,16.6,13.31,0.0,8.29,10.35
tableau,8.67,11.48,8.89,9.26,12.95,15.47,0.0,7.5,10.05
docker,2.0,5.96,12.77,8.62,16.1,1.44,70.0,11.94,9.87
javascript,14.0,10.69,6.97,9.6,10.79,6.47,1.67,13.87,9.76
data pipeline,10.0,5.83,13.67,12.19,7.69,1.08,0.0,5.84,9.62
mathematics,14.67,9.82,10.4,7.24,7.58,24.82,0.0,14.2,9.52
oracle,1.33,8.31,10.32,10.72,5.59,4.32,1.67,10.68,9.27
sql server,1.33,7.85,9.25,9.95,6.31,9.35,0.0,2.59,8.16
s3,2.67,6.17,5.72,9.88,6.81,13.67,0.0,12.08,7.84
google cloud,6.0,5.13,10.42,10.27,8.58,0.36,0.0,1.46,7.82
mongodb,2.0,6.5,8.12,9.24,9.24,0.0,0.0,4.25,7.63
c++,20.67,7.06,6.59,7.45,2.93,1.44,10.0,15.2,7.38
data lake,0.0,5.88,5.42,10.34,8.74,12.59,0.0,3.25,7.27
data structures,1.33,6.33,8.97,7.04,3.1,1.44,0.0,12.41,7.17
cassandra,0.67,5.79,10.11,7.1,5.48,0.36,30.0,7.1,7.16
hbase,5.33,5.4,9.12,7.35,6.36,0.0,0.0,7.76,7.0
elasticsearch,0.0,7.91,5.93,5.61,12.06,2.88,0.0,7.5,6.98
c,2.0,5.67,5.98,6.14,12.56,3.96,0.0,11.35,6.96
rest,1.33,7.21,6.23,8.45,6.14,2.88,1.67,4.38,6.91
kubernetes,0.0,5.69,7.38,6.88,5.2,3.96,40.0,10.75,6.84
scrum,0.0,5.88,6.26,7.9,8.14,10.07,0.0,4.51,6.69
os,8.67,7.97,9.81,2.04,7.53,6.47,13.33,6.64,6.37
c#,0.67,4.63,5.01,8.45,3.49,8.63,0.0,11.15,6.33
shell,0.0,6.69,7.59,6.44,0.44,3.6,0.0,6.77,6.07
deep learning,2.67,5.46,9.71,3.48,8.97,3.6,10.0,4.58,6.0
project management,0.0,4.4,7.02,7.65,1.99,4.32,1.67,4.58,5.7
data visualization,5.33,5.83,6.44,4.86,2.16,12.23,0.0,7.5,5.51
jenkins,12.0,3.65,7.18,6.33,4.93,5.4,1.67,3.32,5.43
hdfs,0.0,3.18,7.77,6.26,4.37,0.36,0.0,5.37,5.34
data architecture,0.0,2.66,6.23,7.22,5.59,1.44,0.0,4.11,5.21
excel,16.0,7.99,4.01,5.15,0.39,2.52,10.0,3.92,5.15
mapreduce,0.0,5.17,5.54,3.3,6.2,0.0,0.0,4.45,4.57
http,2.67,3.07,5.19,5.06,5.04,0.36,0.0,1.92,4.19
impala,0.0,2.91,4.88,4.13,8.02,0.36,0.0,3.25,4.18
snowflake,0.0,4.03,3.47,5.78,1.99,0.0,0.0,0.0,3.81
